Time (s),Height (mm)
0,0
1.295896328,0.344594595
2.267818575,0.682432432
3.239740821,1.108108108
4.535637149,1.513513514
5.183585313,1.783783784
6.479481641,2.046683047
10.52915767,3.001689189
15.55075594,3.765765766
20.08639309,4.502702703
23.97408207,5.205405405
27.86177106,5.827567568
32.39740821,6.472972973
36.28509719,6.986486486
40.82073434,7.336486486
44.06047516,7.716216216
50.10799136,8.088738739
53.34773218,8.403278278
59.32537162,8.756041335
66.09071274,9.054054054
72.94401063,9.281185031
85.20518359,9.47972973
97.19222462,9.303571429
104.3196544,9.010810811
114.0388769,8.527027027
124.4060475,8.012012012
134.7732181,7.445945946
144.4924406,6.928378378
154.2116631,6.498498498
165.87473,6.154791155
180.1295896,6.060810811
193.7365011,6.113513514
206.5459379,6.481202356
217.062635,6.662162162
225.9843828,7.053014553
236.778772,7.277716492
246.718724,7.568607069
260.475162,7.785012285
274.7300216,7.857493857
288.9848812,7.773648649
301.9438445,7.56981982
315.4012294,7.340956341
329.0579831,7.124740125
342.9805616,6.925675676
357.6673866,6.810810811
371.9222462,6.818181818
386.1771058,6.925061425
400.4319654,7.045454545
414.6868251,7.171990172
428.9416847,7.237100737
443.1965443,7.336609337
457.4514039,7.423832924
471.7062635,7.42997543
485.9611231,7.4004914
500.2159827,7.33046683
514.4708423,7.259213759
528.7257019,7.153562654
542.9805616,7.121621622
557.2354212,7.14004914
571.4902808,7.197788698
585.7451404,7.244471744
600,7.283783784
614.2548596,7.283783784
625.9179266,7.283783784
